# time,x,y,error
1.662391171774000000e+12,2.987427508141980326e+01,1.904901698376960084e+01,nan
1.662391172414000000e+12,2.942378774192710722e+01,1.875466587235287719e+01,nan
1.662391173014000000e+12,2.898318717718788662e+01,1.846521181843387893e+01,1.590152415669707553e+00
1.662391173604000000e+12,2.856845615483415557e+01,1.809534774356092868e+01,nan
1.662391174164000000e+12,2.813324609450616265e+01,1.771432090491935440e+01,nan
1.662391174724000000e+12,2.773188940547879966e+01,1.724635028479291776e+01,3.052379184915585686e+00
1.662391175264000000e+12,2.727325370122769854e+01,1.674181717430212757e+01,nan
1.662391175874000000e+12,2.686680361125985783e+01,1.620391901427185388e+01,4.187107689037839364e+00
1.662391176404000000e+12,2.631798136018309719e+01,1.584482812106065985e+01,4.479545807986784034e+00
1.662391176994000000e+12,2.559877715592888592e+01,1.582651704602681164e+01,nan
1.662391177584000000e+12,2.506127737634503916e+01,1.612795823061502176e+01,4.654969253224668257e+00
1.662391178184000000e+12,2.453243901049757980e+01,1.638251911279081696e+01,nan
1.662391178744000000e+12,2.397783583431255749e+01,1.665357557998705573e+01,4.892917461056275563e+00
1.662391179304000000e+12,2.340515069836971662e+01,1.648810141975559773e+01,5.483336014092283328e+00
1.662391179824000000e+12,2.297964181746726453e+01,1.610011329463631569e+01,6.182416237914340584e+00
1.662391180444000000e+12,2.268878427657259067e+01,1.564047051401897193e+01,7.046316012045764410e+00
1.662391181014000000e+12,2.241083772112844841e+01,1.514312807599079136e+01,nan
1.662391181574000000e+12,2.219048481120836058e+01,1.456865952507426698e+01,8.435890959700126146e+00
1.662391182114000000e+12,2.193856482628348914e+01,1.400294300374860690e+01,9.043239175403103403e+00
1.662391182684000000e+12,2.175934773954504919e+01,1.340606070798653882e+01,9.818110905498974361e+00
1.662391183214000000e+12,2.157654643256698179e+01,1.280711675737105537e+01,1.052634168360435041e+01
1.662391183794000000e+12,2.149750494881504181e+01,1.217345619698661174e+01,nan
1.662391184334000000e+12,2.158367511990775256e+01,1.147872217195660660e+01,1.224153993754474001e+01
1.662391184894000000e+12,2.206649318242090985e+01,1.098895824669269494e+01,1.302142035754633476e+01
1.662391185454000000e+12,2.261233275127359832e+01,1.067361685754564604e+01,nan
1.662391186094000000e+12,2.321039964265643007e+01,1.053009667820160189e+01,nan
1.662391186624000000e+12,2.386631373174921578e+01,1.046407333051667443e+01,1.326440919020293840e+01
1.662391187204000000e+12,2.435664835351496293e+01,1.083944455936612883e+01,nan
1.662391187764000000e+12,2.464031336874238676e+01,1.138588048759974924e+01,1.208983946125964160e+01
1.662391188404000000e+12,2.472296048778742872e+01,1.200566918050094323e+01,1.106820074695712819e+01
1.662391188954000000e+12,2.479081066950629619e+01,1.261607098517588810e+01,1.023590434651974590e+01
1.662391189524000000e+12,2.474805998179497379e+01,1.331858078293094572e+01,9.173667082003403195e+00
1.662391190084000000e+12,2.476369016072857576e+01,1.401266455400467770e+01,8.250804930719537467e+00
1.662391190654000000e+12,2.465692826784893299e+01,1.471639903107301706e+01,nan
1.662391191214000000e+12,2.455345091981370587e+01,1.540985392311234392e+01,6.076266472429267651e+00
1.662391191794000000e+12,2.440085919410556059e+01,1.610072959611887455e+01,nan
1.662391192404000000e+12,2.464834589366024886e+01,1.667577485817605165e+01,4.205553005147796064e+00
1.662391192994000000e+12,2.515115004401364729e+01,1.712408343613493855e+01,nan
1.662391193564000000e+12,2.576700213420695107e+01,1.740324067745492087e+01,nan
1.662391194194000000e+12,2.634361178273623239e+01,1.773363030686809694e+01,4.921379935580703524e+00
